X1,X2,X3,X4,X5,Y
1/1/2017 12:10,14.38,54.42,0.076,37.92,29802.53165
1/1/2017 12:20,15.02,56.46,0.074,38.81,29887.59494
1/1/2017 12:30,15.55,58.7,0.075,39.46,30039.49367
1/1/2017 12:40,15.56,59.23,0.076,40.92,29966.58228
1/1/2017 12:50,15.49,59.3,0.076,40.9,29996.96203
1/1/2017 13:00,15.57,58.06,0.077,40.94,30258.22785
1/1/2017 13:10,15.65,58.7,0.077,42.75,30404.05063
1/1/2017 13:20,15.73,59.33,0.076,44.65,30094.17722
1/1/2017 13:30,15.68,58.6,0.079,44.26,30161.01266
1/1/2017 13:40,15.7,55.29,0.074,39.32,30318.98734
1/1/2017 13:50,15.75,52.45,0.077,38.65,30154.93671
1/1/2017 14:00,15.83,54.99,0.079,39.49,29984.81013
1/1/2017 14:10,15.79,56.66,0.076,39.94,30021.26582
1/1/2017 14:20,15.72,55.86,0.077,39.95,30021.26582
1/1/2017 14:30,15.8,54.06,0.075,41.52,29911.89873
1/1/2017 14:40,15.74,55.56,0.075,44.13,29747.8481
1/1/2017 14:50,15.72,56.69,0.077,43.87,29705.31646
1/1/2017 15:00,15.64,57.26,0.077,44.9,29571.64557
1/1/2017 15:10,15.69,57.96,0.074,46.89,29553.41772
1/1/2017 15:20,15.69,58.93,0.075,51.51,29383.29114
1/1/2017 15:30,15.6,58.7,0.073,57.14,29061.26582
1/1/2017 15:40,15.39,57.6,0.075,60.31,28885.06329
1/1/2017 15:50,15.34,58.7,0.075,67.85,28854.68354
1/1/2017 16:00,15.33,59.23,0.077,128.9,28836.4557
1/1/2017 16:10,15.48,57.46,0.074,219.1,28708.86076
1/1/2017 16:20,15.54,58.3,0.076,246,28556.96203
1/1/2017 16:30,15.53,58.8,0.077,248.1,28514.43038
1/1/2017 16:40,15.48,57.73,0.075,231.6,28666.32911
1/1/2017 16:50,15.47,58.23,0.077,211.9,29097.72152
1/1/2017 17:00,15.44,59.07,0.076,201.7,29723.5443
1/1/2017 17:10,15.35,59.3,0.077,163,30871.89873
1/1/2017 17:20,15.34,59,0.079,144.3,32700.75949
1/1/2017 17:30,15.11,59.53,0.076,120.6,35793.41772
1/1/2017 17:40,14.93,60.83,0.077,94,38321.01266
1/1/2017 17:50,14.71,61.87,0.086,28.08,39129.11392
1/1/2017 18:00,14.48,63.27,0.08,18.29,39560.50633
1/1/2017 18:10,14.29,63.94,0.078,7.02,39517.97468
1/1/2017 18:20,14.09,64.87,0.078,2.763,39596.96203
1/1/2017 18:30,13.89,66.11,0.076,0.89,39469.36709
1/1/2017 18:40,13.79,66.74,0.076,0.197,39682.02532
1/1/2017 18:50,13.54,66.71,0.076,0.089,39888.60759
1/1/2017 19:00,12.51,68.35,0.077,0.085,39991.89873
1/1/2017 19:10,12.06,70.2,0.078,0.096,40210.63291
1/1/2017 19:20,11.75,70.7,0.079,0.126,40216.70886
1/1/2017 19:30,11.61,70.7,0.077,0.126,40435.44304
1/1/2017 19:40,11.5,70.6,0.078,0.074,40514.43038
1/1/2017 19:50,11.43,70.7,0.076,0.093,40544.81013
1/1/2017 20:00,11.42,71.2,0.076,0.085,40283.5443
1/1/2017 20:10,11.69,71.1,0.078,0.104,40216.70886
1/1/2017 20:20,12.05,69.82,0.077,0.108,40477.97468
1/1/2017 20:30,11.87,69.98,0.076,0.093,40611.64557
1/1/2017 20:40,11.61,71.2,0.078,0.119,40435.44304
1/1/2017 20:50,11.5,72,0.078,0.078,40204.55696
1/1/2017 21:00,11.43,72,0.075,0.07,39584.81013
1/1/2017 21:10,11.29,72.2,0.075,0.119,39274.93671
1/1/2017 21:20,11.49,73.1,0.077,0.085,39141.26582
1/1/2017 21:30,12.24,70.1,0.077,0.089,38643.03797
1/1/2017 21:40,11.84,68.78,0.074,0.093,38011.13924
1/1/2017 21:50,12.2,68.78,0.074,0.122,37622.27848
1/1/2017 22:00,13.1,65.44,0.074,0.141,36953.92405
1/1/2017 22:10,13.2,63.84,0.074,0.093,36394.93671
1/1/2017 22:20,13.18,63.97,0.075,0.093,35289.11392
1/1/2017 22:30,12.64,66.77,0.072,0.141,34438.48101
1/1/2017 22:40,12.39,68.04,0.074,0.115,33678.98734
1/1/2017 22:50,12.24,69.18,0.077,0.119,33077.46835
1/1/2017 23:00,12.11,69.94,0.074,0.082,32117.46835
1/1/2017 23:10,12.07,70.7,0.076,0.078,31357.97468
1/1/2017 23:20,11.99,70.8,0.075,0.134,30701.77215
1/1/2017 23:30,11.32,74.7,0.075,0.1,29681.01266
1/1/2017 23:40,11.37,74.8,0.074,0.082,28830.37975
1/1/2017 23:50,11.41,74.1,0.076,0.122,27748.86076
1/2/2017 0:00,11.01,75.8,0.076,0.163,26703.79747
1/2/2017 0:10,10.74,77.3,0.078,0.108,26169.11392
1/2/2017 0:20,10.47,78.2,0.078,0.13,25622.27848
1/2/2017 0:30,10.31,79.2,0.076,0.134,24972.1519
1/2/2017 0:40,10.63,79.3,0.079,0.152,24437.46835
1/2/2017 0:50,10.84,78.4,0.073,0.156,23914.93671
1/2/2017 1:00,10.94,78.1,0.074,0.108,23629.36709
1/2/2017 1:10,11.12,77.9,0.073,0.145,23118.98734
1/2/2017 1:20,11.02,77.5,0.081,0.178,22736.20253
1/2/2017 1:30,10.5,78.9,0.076,0.145,22049.62025
1/2/2017 1:40,10.22,79.8,0.078,0.126,21855.18987
1/2/2017 1:50,10.42,81.3,0.075,0.13,21685.06329
1/2/2017 2:00,10.86,80,0.076,0.159,21533.16456
1/2/2017 2:10,11.17,77.3,0.077,0.13,21107.8481
1/2/2017 2:20,11.1,75.6,0.077,0.156,20986.32911
1/2/2017 2:30,11.14,75,0.081,0.156,20725.06329
1/2/2017 2:40,11.21,75.2,0.077,0.137,20889.11392
1/2/2017 2:50,10.71,77.4,0.079,0.148,20433.41772
1/2/2017 3:00,10.7,77.7,0.079,0.159,20372.65823
1/2/2017 3:10,10.58,78.6,0.075,0.137,20135.6962
1/2/2017 3:20,10.59,79.5,0.078,0.145,20129.62025
1/2/2017 3:30,10.68,79.4,0.079,0.156,20117.46835
1/2/2017 3:40,10.52,79.8,0.076,0.145,20087.08861
1/2/2017 3:50,10.34,80.6,0.078,0.119,19740.75949
1/2/2017 4:00,10.18,81.7,0.079,0.159,19831.89873
1/2/2017 4:10,10.41,82.3,0.074,0.126,19989.87342
1/2/2017 4:20,10.41,81.4,0.078,0.134,20166.07595
1/2/2017 4:30,10.39,81.5,0.074,0.119,20214.68354
1/2/2017 4:40,10.16,81.9,0.075,0.122,20141.77215
1/2/2017 4:50,9.97,82.8,0.077,0.178,20056.70886
1/2/2017 5:00,10.03,83.8,0.08,0.163,20257.21519
1/2/2017 5:10,9.98,83,0.078,0.115,20500.25316
1/2/2017 5:20,9.74,82.8,0.081,0.126,20712.91139
1/2/2017 5:30,9.54,83.7,0.078,0.174,20810.12658
1/2/2017 5:40,9.53,83.9,0.072,0.182,21041.01266
1/2/2017 5:50,9.56,84.1,0.073,0.134,21709.36709
1/2/2017 6:00,9.58,84.5,0.075,0.134,22742.27848
1/2/2017 6:10,9.44,84.1,0.075,0.145,22948.86076
1/2/2017 6:20,9.4,84.4,0.077,0.122,23258.73418
1/2/2017 6:30,9.38,84.6,0.076,0.141,23471.39241
1/2/2017 6:40,9.16,84.7,0.077,0.145,23653.67089
1/2/2017 6:50,9.06,85.6,0.076,0.141,23769.11392
1/2/2017 7:00,9.17,85.8,0.078,0.163,23380.25316
1/2/2017 7:10,9.46,86.2,0.076,0.152,23033.92405
1/2/2017 7:20,9.74,85.4,0.072,0.111,22803.03797
1/2/2017 7:30,9.8,84.4,0.077,0.122,23082.53165
1/2/2017 7:40,9.58,83.9,0.079,0.13,22803.03797
1/2/2017 7:50,9.51,83.7,0.082,0.137,22268.35443
1/2/2017 8:00,9.44,83.2,0.084,0.223,22742.27848
1/2/2017 8:10,9.18,82.5,0.083,0.89,23526.07595
1/2/2017 8:20,8.96,83.4,0.083,2.867,24340.25316
1/2/2017 8:30,8.71,83.9,0.081,6.472,24881.01266
1/2/2017 8:40,8.52,85.1,0.081,11.56,25190.88608
1/2/2017 8:50,8.43,85.4,0.079,19.49,25531.13924
1/2/2017 9:00,8.44,85.9,0.08,24.49,25980.75949
1/2/2017 9:10,8.69,86.7,0.079,27.88,23495.6962
1/2/2017 9:20,9.02,86.7,0.082,30.43,23629.36709
1/2/2017 9:30,9.17,86.9,0.079,33.24,24006.07595
1/2/2017 9:40,10.48,87,0.079,35.2,24771.64557
1/2/2017 9:50,11.13,83.5,0.08,36.92,25148.35443
1/2/2017 10:00,11.68,81.7,0.08,39.07,25518.98734
1/2/2017 10:10,12.22,78,0.075,40.01,25695.18987
1/2/2017 10:20,12.61,74.8,0.076,40.59,26351.39241
1/2/2017 10:30,13.07,72.7,0.075,42.31,26667.34177
1/2/2017 10:40,13.61,70.2,0.077,43.74,26794.93671
1/2/2017 10:50,14,69.22,0.077,43.39,27281.01266
1/2/2017 11:00,14.55,64.11,0.077,41.43,27645.56962
1/2/2017 11:10,14.94,58.46,0.077,41.13,27773.16456
1/2/2017 11:20,15.08,57.23,0.076,40.66,27894.68354
1/2/2017 11:30,15.18,55.83,0.076,41.23,28532.65823
1/2/2017 11:40,15.28,56.49,0.075,41.84,28818.22785
1/2/2017 11:50,15.27,55.93,0.076,41.83,28684.55696
1/2/2017 12:00,15.21,55.69,0.077,41.73,28939.74684
1/2/2017 12:10,15.18,57.2,0.078,42.38,29152.40506
1/2/2017 12:20,15.11,57.86,0.074,43.43,29674.93671
1/2/2017 12:30,15.1,58.33,0.076,43.25,29826.83544
1/2/2017 12:40,15.26,58.8,0.076,44.1,29905.82278
1/2/2017 12:50,15.15,60.87,0.075,44.53,29990.88608
1/2/2017 13:00,15.23,60.53,0.076,44.09,29966.58228
1/2/2017 13:10,15.22,60.2,0.077,44.43,29881.51899
1/2/2017 13:20,15.22,59.83,0.076,44.29,29760
1/2/2017 13:30,15.33,59.16,0.076,43.72,29292.1519
1/2/2017 13:40,15.41,58.13,0.076,43.82,29140.25316
1/2/2017 13:50,15.43,58,0.077,43.68,28872.91139
1/2/2017 14:00,15.56,56.03,0.075,42.8,28672.40506
1/2/2017 14:10,15.59,55.73,0.075,42.58,28502.27848
1/2/2017 14:20,15.47,56.29,0.077,42.83,28684.55696
1/2/2017 14:30,15.55,55.99,0.074,41.88,28617.72152
1/2/2017 14:40,15.57,56.53,0.076,42.14,28635.94937
1/2/2017 14:50,15.64,55.35,0.077,41.5,28556.96203
1/2/2017 15:00,15.59,55.76,0.077,40.61,28721.01266
1/2/2017 15:10,15.58,57.03,0.077,42.48,28696.70886
1/2/2017 15:20,15.49,57.19,0.075,45.96,29049.11392
1/2/2017 15:30,15.45,57.86,0.075,57.35,29255.6962
1/2/2017 15:40,15.36,57.72,0.075,79.5,29012.65823
1/2/2017 15:50,15.38,58.02,0.074,121.3,29091.64557
1/2/2017 16:00,15.37,58.59,0.077,184,29030.88608
1/2/2017 16:10,15.23,59.76,0.077,238,29267.8481
1/2/2017 16:20,15.23,61.12,0.075,253.4,29480.50633
1/2/2017 16:30,15.24,61.63,0.075,248.1,30161.01266
1/2/2017 16:40,15.19,61.72,0.075,227.3,31011.64557
1/2/2017 16:50,15.17,61.76,0.077,200.6,31029.87342
1/2/2017 17:00,15.22,59.95,0.076,175,32390.88608
1/2/2017 17:10,15.17,61.92,0.076,148.2,33685.06329
1/2/2017 17:20,15.02,62.32,0.076,123.7,35659.74684
1/2/2017 17:30,14.9,61.82,0.079,98.6,38187.34177
1/2/2017 17:40,14.81,61.79,0.078,75.3,40648.10127
1/2/2017 17:50,14.68,62.05,0.079,25.24,41565.56962
1/2/2017 18:00,14.54,64.02,0.074,11.2,41644.55696
1/2/2017 18:10,14.38,64.55,0.077,6.524,41814.68354
1/2/2017 18:20,14.23,65.55,0.076,3.089,41766.07595
1/2/2017 18:30,14.11,65.79,0.081,0.946,41753.92405
1/2/2017 18:40,14.03,66.72,0.074,0.189,41808.60759
1/2/2017 18:50,13.95,67.52,0.074,0.119,41699.24051
1/2/2017 19:00,13.87,68.59,0.075,0.1,41280
1/2/2017 19:10,13.74,69.46,0.074,0.093,41583.79747
1/2/2017 19:20,13.55,69.9,0.076,0.104,41851.13924
1/2/2017 19:30,13.43,69.86,0.076,0.108,41608.10127
1/2/2017 19:40,13.35,69.86,0.076,0.078,41395.44304
1/2/2017 19:50,13.2,70.5,0.076,0.122,41273.92405
1/2/2017 20:00,13.42,68.89,0.073,0.096,40939.74684
1/2/2017 20:10,13.55,68.12,0.077,0.074,41249.62025
1/2/2017 20:20,13.42,68.52,0.075,0.093,41316.4557
1/2/2017 20:30,13.3,69.03,0.075,0.093,41182.78481
1/2/2017 20:40,13.33,68.72,0.076,0.108,41061.26582
1/2/2017 20:50,13.45,68.59,0.075,0.122,40830.37975
1/2/2017 21:00,13.47,66.99,0.074,0.078,40830.37975
1/2/2017 21:10,13.29,66.99,0.075,0.067,40356.4557
1/2/2017 21:20,13.15,66.42,0.078,0.093,39797.46835
1/2/2017 21:30,13.03,66.62,0.074,0.085,39116.96203
1/2/2017 21:40,12.93,67.29,0.076,0.111,38564.05063
1/2/2017 21:50,12.88,67.46,0.075,0.119,38102.27848
1/2/2017 22:00,12.86,67.76,0.074,0.093,37792.40506
1/2/2017 22:10,12.87,67.96,0.075,0.134,37117.97468
1/2/2017 22:20,12.92,68.52,0.074,0.148,36218.73418
1/2/2017 22:30,12.96,68.62,0.075,0.063,35191.89873
1/2/2017 22:40,12.88,69.33,0.075,0.152,34754.43038
1/2/2017 22:50,12.77,69.86,0.075,0.1,33909.87342
1/2/2017 23:00,12.82,70.1,0.075,0.1,32785.82278
1/2/2017 23:10,12.75,70.4,0.071,0.152,31916.96203
1/2/2017 23:20,12.54,71.5,0.077,0.1,30252.1519
1/2/2017 23:30,12.23,72.9,0.077,0.111,29346.83544
1/2/2017 23:40,12.19,72.8,0.077,0.122,28593.41772
1/2/2017 23:50,12.31,72.6,0.072,0.152,27779.24051
1/3/2017 0:00,12.08,74,0.076,0.093,26661.26582
1/3/2017 0:10,12.16,74,0.072,0.141,26150.88608
1/3/2017 0:20,12.07,74.1,0.074,0.119,25433.92405
1/3/2017 0:30,11.48,76.8,0.077,0.145,24947.8481
1/3/2017 0:40,11.45,77.7,0.074,0.115,24540.75949
1/3/2017 0:50,11.8,76.6,0.076,0.23,23884.55696
1/3/2017 1:00,12.23,75.1,0.074,0.145,23422.78481
1/3/2017 1:10,12.39,71,0.078,0.148,23222.27848
1/3/2017 1:20,12.42,71.4,0.077,0.159,22766.58228
1/3/2017 1:30,12.4,71.5,0.075,0.156,22365.56962
1/3/2017 1:40,11.84,73.4,0.079,0.152,22098.22785
1/3/2017 1:50,11.51,73,0.076,0.148,21946.32911
1/3/2017 2:00,11.35,73.6,0.081,0.134,21691.13924
1/3/2017 2:10,11.27,73.8,0.077,0.159,21575.6962
1/3/2017 2:20,11.33,74.5,0.073,0.13,21502.78481
1/3/2017 2:30,11.44,75,0.078,0.119,21332.65823
1/3/2017 2:40,12.26,75.5,0.076,0.163,21059.24051
1/3/2017 2:50,13.08,70.9,0.076,0.174,21065.31646
1/3/2017 3:00,12.78,71.8,0.078,0.156,20980.25316
1/3/2017 3:10,12.34,73.2,0.076,0.152,20931.64557
1/3/2017 3:20,12.2,73.8,0.072,0.178,20658.22785
1/3/2017 3:30,12.04,74.7,0.077,0.134,20226.83544
1/3/2017 3:40,11.96,74.9,0.077,0.137,20220.75949
1/3/2017 3:50,11.92,75.2,0.077,0.182,20330.12658
1/3/2017 4:00,11.85,75.1,0.083,0.156,20202.53165
1/3/2017 4:10,11.66,75.5,0.084,0.156,19989.87342
1/3/2017 4:20,11.55,76.1,0.077,0.156,19989.87342
1/3/2017 4:30,11.6,75.1,0.081,0.137,20087.08861
1/3/2017 4:40,11.17,77.8,0.076,0.148,20129.62025
1/3/2017 4:50,10.83,78.5,0.076,0.148,20299.74684
1/3/2017 5:00,10.74,78.6,0.077,0.189,20390.88608
1/3/2017 5:10,10.57,80.3,0.081,0.152,20500.25316
1/3/2017 5:20,10.49,80.3,0.08,0.141,20755.44304
1/3/2017 5:30,10.69,81.6,0.078,0.074,20986.32911
1/3/2017 5:40,11.22,80,0.076,0.171,21454.17722
1/3/2017 5:50,11.36,77.9,0.077,0.174,22122.53165
1/3/2017 6:00,11.44,77.5,0.079,0.122,22954.93671
1/3/2017 6:10,11.49,76.7,0.073,0.159,23605.06329
1/3/2017 6:20,11.33,76.8,0.075,0.145,24255.18987
1/3/2017 6:30,11.16,77.3,0.082,0.163,24656.20253
1/3/2017 6:40,10.89,77.5,0.082,0.111,24552.91139
1/3/2017 6:50,10.27,80.2,0.078,0.148,24607.59494
1/3/2017 7:00,10.15,80.8,0.08,0.193,24534.68354
1/3/2017 7:10,10,81.6,0.077,0.145,24662.27848
1/3/2017 7:20,9.9,81.5,0.076,0.171,24534.68354
1/3/2017 7:30,9.67,81.6,0.08,0.145,24151.89873
1/3/2017 7:40,9.27,81.5,0.08,0.167,23811.64557
1/3/2017 7:50,9.03,81.8,0.079,0.122,23532.1519
1/3/2017 8:00,8.85,82.7,0.082,0.223,23884.55696
1/3/2017 8:10,8.68,83.1,0.083,0.849,24522.53165
1/3/2017 8:20,8.54,83.7,0.078,2.815,24874.93671
1/3/2017 8:30,8.38,84.9,0.081,6.119,25251.64557
1/3/2017 8:40,8.5,84.9,0.079,11.68,25871.39241
1/3/2017 8:50,8.48,85.7,0.082,20.54,26466.83544
1/3/2017 9:00,8.4,85.3,0.082,27.42,27135.18987
1/3/2017 9:10,8.51,85.5,0.083,33.31,27997.97468
1/3/2017 9:20,8.8,85,0.084,38.03,28107.34177
1/3/2017 9:30,9.09,84.1,0.081,40,28417.21519
1/3/2017 9:40,9.62,84.5,0.082,41.16,29085.56962
1/3/2017 9:50,10.89,85.9,0.085,40.65,29383.29114
1/3/2017 10:00,12.43,83.3,0.079,41.27,30057.72152
1/3/2017 10:10,13.02,77.5,0.084,42.92,30756.4557
1/3/2017 10:20,13.38,74.4,0.078,43.12,30932.65823
1/3/2017 10:30,13.64,73.2,0.079,43.18,31272.91139
1/3/2017 10:40,13.88,72.2,0.084,43.25,31844.05063
1/3/2017 10:50,14.16,72.3,0.081,43.08,32281.51899
1/3/2017 11:00,14.54,69.24,0.084,43.97,32749.36709
1/3/2017 11:10,14.75,67.1,0.078,44.96,32974.17722
1/3/2017 11:20,14.87,66.57,0.08,45.17,33004.55696
1/3/2017 11:30,15,65.1,0.083,44.82,33217.21519
1/3/2017 11:40,15.08,64.4,0.079,44.18,33332.65823
1/3/2017 11:50,15.18,64.23,0.077,45.02,33113.92405
1/3/2017 12:00,15.28,64.43,0.074,44.71,33168.60759
1/3/2017 12:10,15.19,63.6,0.074,45.04,33751.89873
1/3/2017 12:20,15.18,64.77,0.075,44.71,34019.24051
1/3/2017 12:30,15.21,65.33,0.076,45.15,34116.4557
1/3/2017 12:40,15.31,64.2,0.074,44.76,34468.86076
1/3/2017 12:50,15.35,63.13,0.073,44.76,34468.86076
1/3/2017 13:00,15.43,62.93,0.073,44.55,34341.26582
1/3/2017 13:10,15.39,62.9,0.074,44.78,33964.55696
1/3/2017 13:20,15.41,62.83,0.074,44.84,33502.78481
1/3/2017 13:30,15.57,62.7,0.077,44.76,33302.27848
1/3/2017 13:40,15.37,63.4,0.076,44.94,33356.96203
1/3/2017 13:50,15.49,63.46,0.075,45.25,33271.89873
1/3/2017 14:00,15.57,63.7,0.073,45.01,32627.8481
1/3/2017 14:10,15.48,63.76,0.075,44.23,32694.68354
1/3/2017 14:20,15.36,64.16,0.073,44.07,32366.58228
1/3/2017 14:30,15.35,64.19,0.074,43.33,32269.36709
1/3/2017 14:40,15.41,64.1,0.074,43.09,32293.67089
1/3/2017 14:50,15.36,65.23,0.075,43.03,32208.60759
1/3/2017 15:00,15.44,64.86,0.075,43.02,32251.13924
1/3/2017 15:10,15.48,64.1,0.075,45.37,32567.08861
1/3/2017 15:20,15.45,64.86,0.076,53.46,32366.58228
1/3/2017 15:30,15.44,64.93,0.074,72.7,32336.20253
1/3/2017 15:40,15.34,65.3,0.075,104.5,32257.21519
1/3/2017 15:50,15.3,65.83,0.075,155.7,31983.79747
1/3/2017 16:00,15.34,66.4,0.075,215.7,31777.21519
1/3/2017 16:10,15.34,66.83,0.071,256.6,31874.43038
1/3/2017 16:20,15.23,67.66,0.076,257.7,31740.75949
1/3/2017 16:30,15.18,67.73,0.075,240.7,32196.4557
1/3/2017 16:40,15.09,67.66,0.076,218.7,32263.29114
1/3/2017 16:50,14.96,66.19,0.077,193.2,32688.60759
1/3/2017 17:00,14.94,64.99,0.075,166.5,33241.51899
1/3/2017 17:10,14.89,65.45,0.073,142.4,34669.36709
1/3/2017 17:20,14.85,65.55,0.077,121.2,36200.50633
1/3/2017 17:30,14.78,65.82,0.075,98.6,39062.27848
1/3/2017 17:40,14.68,67.22,0.073,75.3,41486.58228
1/3/2017 17:50,14.51,68.26,0.077,31.14,42312.91139
1/3/2017 18:00,14.32,69.56,0.075,11.93,42495.18987
1/3/2017 18:10,14.14,70.9,0.076,6.887,42750.37975
1/3/2017 18:20,13.98,72.1,0.076,3.349,42871.89873
1/3/2017 18:30,13.86,73,0.074,1.087,42993.41772
1/3/2017 18:40,13.45,73.7,0.075,0.189,42823.29114
1/3/2017 18:50,12.2,77.3,0.076,0.115,42677.46835
1/3/2017 19:00,11.85,78.2,0.074,0.111,42434.43038
1/3/2017 19:10,11.53,79,0.078,0.093,42671.39241
1/3/2017 19:20,11.25,80,0.075,0.111,42720
1/3/2017 19:30,11.12,80.5,0.074,0.115,42689.62025
1/3/2017 19:40,10.92,81.2,0.076,0.085,42476.96203
1/3/2017 19:50,10.93,81.3,0.079,0.074,42288.60759
1/3/2017 20:00,10.69,81.5,0.077,0.093,41960.50633
1/3/2017 20:10,10.39,81.5,0.078,0.089,42416.20253
1/3/2017 20:20,10.17,83.1,0.074,0.067,42519.49367
1/3/2017 20:30,10.03,82.9,0.075,0.1,42318.98734
1/3/2017 20:40,9.61,83.9,0.076,0.108,42221.77215
1/3/2017 20:50,9.71,84.2,0.075,0.096,42033.41772
1/3/2017 21:00,9.62,83.4,0.074,0.082,41571.64557
1/3/2017 21:10,9.49,83.5,0.073,0.111,40970.12658
1/3/2017 21:20,9.33,83.7,0.076,0.067,40490.12658
1/3/2017 21:30,9.23,83.9,0.074,0.1,39870.37975
1/3/2017 21:40,9.14,84,0.073,0.085,39347.8481
1/3/2017 21:50,9.11,83.8,0.073,0.078,38916.4557
1/3/2017 22:00,9.07,83.8,0.073,0.089,37962.53165
1/3/2017 22:10,9,83.9,0.072,0.108,37300.25316
1/3/2017 22:20,9.05,84,0.072,0.093,36565.06329
1/3/2017 22:30,8.98,83.6,0.073,0.059,35750.88608
1/3/2017 22:40,8.81,83.9,0.075,0.104,34535.6962
1/3/2017 22:50,8.72,84,0.076,0.115,33654.68354
